商品ID,商品标题,类目,风格,材质,成本价,售价,利润率,月销量,竞争店铺数,评分,评论数,店铺名称,店铺信誉,发货地,上架时间,收藏数,链接
TB100000,欧美冰丝T恤 夏季女装,T恤,欧美,冰丝,43,76,76.74%,2278,455,4.0,622,欧美服饰店0,1钻,深圳,2024-12-25,1622,https://item.taobao.com/item.htm?id=100000
TB100001,日系雪纺吊带 夏季女装,吊带,日系,雪纺,94,228,142.55%,3720,206,3.5,1002,日系服饰店1,1钻,广州,2024-12-12,182,https://item.taobao.com/item.htm?id=100001
TB100002,复古雪纺短裤 夏季女装,短裤,复古,雪纺,49,116,136.73%,474,347,4.5,119,复古服饰店2,3钻,杭州,2024-11-09,1105,https://item.taobao.com/item.htm?id=100002
TB100003,欧美麻半身裙 夏季女装,半身裙,欧美,麻,71,174,145.07%,713,213,3.7,121,欧美服饰店3,2钻,杭州,2024-09-10,227,https://item.taobao.com/item.htm?id=100003
TB100004,复古麻T恤 夏季女装,T恤,复古,麻,106,256,141.51%,2799,12,4.9,404,复古服饰店4,2冠,杭州,2024-05-16,1053,https://item.taobao.com/item.htm?id=100004
TB100005,欧美麻衬衫 夏季女装,衬衫,欧美,麻,42,71,69.05%,2308,475,4.9,250,欧美服饰店5,1钻,杭州,2024-03-21,1297,https://item.taobao.com/item.htm?id=100005
TB100006,韩版麻连衣裙 夏季女装,连衣裙,韩版,麻,158,474,200.0%,2331,452,4.8,523,韩版服饰店6,1钻,深圳,2024-09-24,1351,https://item.taobao.com/item.htm?id=100006
TB100007,复古涤纶阔腿裤 夏季女装,阔腿裤,复古,涤纶,95,264,177.89%,2334,222,4.1,265,复古服饰店7,1冠,温州,2024-08-24,1276,https://item.taobao.com/item.htm?id=100007
TB100008,日系涤纶阔腿裤 夏季女装,阔腿裤,日系,涤纶,88,235,167.05%,2988,185,4.4,445,日系服饰店8,1钻,温州,2024-04-15,725,https://item.taobao.com/item.htm?id=100008
TB100009,欧美涤纶短裤 夏季女装,短裤,欧美,涤纶,107,297,177.57%,2251,111,4.3,467,欧美服饰店9,3冠,上海,2024-05-07,1975,https://item.taobao.com/item.htm?id=100009
TB100010,日系冰丝T恤 夏季女装,T恤,日系,冰丝,111,258,132.43%,2802,345,4.5,605,日系服饰店10,2冠,温州,2024-10-02,200,https://item.taobao.com/item.htm?id=100010
TB100011,韩版雪纺短裤 夏季女装,短裤,韩版,雪纺,153,383,150.33%,4288,248,3.7,739,韩版服饰店11,2钻,广州,2024-12-02,1786,https://item.taobao.com/item.htm?id=100011
TB100012,时尚雪纺吊带 夏季女装,吊带,时尚,雪纺,197,386,95.94%,95,32,3.7,19,时尚服饰店12,2钻,广州,2024-11-08,1346,https://item.taobao.com/item.htm?id=100012
TB100013,日系冰丝阔腿裤 夏季女装,阔腿裤,日系,冰丝,41,120,192.68%,1214,14,3.6,280,日系服饰店13,2钻,杭州,2024-04-07,1324,https://item.taobao.com/item.htm?id=100013
TB100014,欧美涤纶半身裙 夏季女装,半身裙,欧美,涤纶,142,307,116.2%,1056,143,3.7,207,欧美服饰店14,1冠,温州,2024-01-27,1837,https://item.taobao.com/item.htm?id=100014
TB100015,简约麻阔腿裤 夏季女装,阔腿裤,简约,麻,104,270,159.62%,3056,227,4.6,821,简约服饰店15,2冠,杭州,2024-06-02,1524,https://item.taobao.com/item.htm?id=100015
TB100016,复古麻衬衫 夏季女装,衬衫,复古,麻,112,255,127.68%,4420,152,4.4,1190,复古服饰店16,2冠,上海,2024-11-26,1355,https://item.taobao.com/item.htm?id=100016
TB100017,时尚混纺连衣裙 夏季女装,连衣裙,时尚,混纺,65,146,124.62%,2141,223,3.5,258,时尚服饰店17,1钻,杭州,2024-09-09,366,https://item.taobao.com/item.htm?id=100017
TB100018,甜美涤纶连衣裙 夏季女装,连衣裙,甜美,涤纶,152,307,101.97%,4087,217,4.6,830,甜美服饰店18,2钻,上海,2024-02-17,1598,https://item.taobao.com/item.htm?id=100018
TB100019,复古麻短裤 夏季女装,短裤,复古,麻,106,218,105.66%,2185,213,3.8,395,复古服饰店19,2冠,温州,2024-03-18,266,https://item.taobao.com/item.htm?id=100019
TB100020,甜美纯棉吊带 夏季女装,吊带,甜美,纯棉,134,275,105.22%,3615,258,4.0,774,甜美服饰店20,3冠,上海,2024-10-25,419,https://item.taobao.com/item.htm?id=100020
TB100021,甜美纯棉短裤 夏季女装,短裤,甜美,纯棉,164,286,74.39%,2645,488,5.0,610,甜美服饰店21,3钻,深圳,2024-08-04,359,https://item.taobao.com/item.htm?id=100021
TB100022,日系纯棉衬衫 夏季女装,衬衫,日系,纯棉,41,108,163.41%,341,335,4.7,96,日系服饰店22,2冠,温州,2024-02-23,373,https://item.taobao.com/item.htm?id=100022
TB100023,甜美冰丝吊带 夏季女装,吊带,甜美,冰丝,44,104,136.36%,2808,51,4.3,538,甜美服饰店23,2冠,温州,2024-05-18,428,https://item.taobao.com/item.htm?id=100023
TB100024,韩版涤纶半身裙 夏季女装,半身裙,韩版,涤纶,192,398,107.29%,2521,177,4.2,627,韩版服饰店24,1冠,上海,2024-08-11,281,https://item.taobao.com/item.htm?id=100024
TB100025,简约冰丝T恤 夏季女装,T恤,简约,冰丝,72,130,80.56%,4450,290,4.0,1183,简约服饰店25,3钻,上海,2024-07-16,1846,https://item.taobao.com/item.htm?id=100025
TB100026,韩版冰丝连衣裙 夏季女装,连衣裙,韩版,冰丝,99,253,155.56%,158,196,4.1,37,韩版服饰店26,3冠,上海,2024-01-23,960,https://item.taobao.com/item.htm?id=100026
TB100027,时尚麻T恤 夏季女装,T恤,时尚,麻,173,351,102.89%,1772,262,3.8,264,时尚服饰店27,1冠,深圳,2024-01-27,1211,https://item.taobao.com/item.htm?id=100027
TB100028,简约混纺T恤 夏季女装,T恤,简约,混纺,44,66,50.0%,4768,38,4.4,1139,简约服饰店28,1冠,杭州,2024-09-19,1643,https://item.taobao.com/item.htm?id=100028
TB100029,欧美纯棉连衣裙 夏季女装,连衣裙,欧美,纯棉,120,227,89.17%,273,486,4.2,38,欧美服饰店29,2冠,温州,2024-10-08,1541,https://item.taobao.com/item.htm?id=100029
